Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      394.8   259.3   160.7   211.0   223.9   332.8   406.5   457.9   499.2   549.4   612.0   723.7  1340.6  1981.2  8381.6  50656.8    50605
read      362.4   263.4   160.7   215.6   228.0   323.4   381.3   415.9   443.0   477.6   526.5   603.7   847.1  2103.5  9126.9  90142.0    90283
read      444.3   380.8   160.7   216.4   229.3   375.7   482.4   540.7   583.6   640.5   755.8   911.7  1135.2  2968.4 19063.1  26385.0    26273
read      407.8   374.9   160.7   213.7   226.4   342.3   423.8   476.7   519.1   570.3   633.3   747.2  1319.4  2150.7 13808.6  48560.0    48521
read      395.8   369.9   160.7   212.8   225.3   346.9   434.4   486.4   522.1   560.5   604.0   662.1   854.9  3763.7 12896.3  33912.5    34058
read      374.0   241.8   160.7   216.9   228.9   328.8   395.2   435.7   467.6   508.6   564.1   645.0   930.5  1924.5  7573.1  75545.3    75648
read      476.1   436.0   173.5   221.5   236.5   429.3   529.5   590.7   641.4   702.8   771.8   864.0  1057.7  3370.8 21772.7  19439.5    19482
read      470.7   451.9   173.5   221.5   238.0   432.5   525.0   582.3   621.6   665.0   717.3   795.6   960.2  3974.2 24515.9  15145.7    15054
read      393.2   340.6   160.7   215.9   228.6   334.5   401.1   443.4   476.4   519.8   581.6   685.7  1445.0  3007.8  9221.8  75682.7    75754
read      399.3   748.8   160.7   231.8   254.4   348.9   386.6   405.7   421.4   437.2   461.9   500.6   787.6  9995.7 31148.6   5236.7     5187
read      480.6   443.5   160.7   218.4   233.0   435.5   539.8   607.3   656.3   710.2   770.1   852.6  1006.4  3836.1 25320.5  17535.2    17656
read      377.1   305.3   160.7   216.6   229.7   331.4   389.2   424.0   451.4   486.6   536.7   624.5  1378.3  2751.8  9236.6  96217.7    96343
read      385.3   329.1   160.7   211.0   223.8   337.7   421.1   472.1   508.2   548.4   594.0   652.9   826.2  3305.8 11969.1  36597.0    36665
read      373.7   295.5   160.7   216.7   229.0   329.3   390.0   426.6   456.2   494.2   546.3   631.6   972.0  2701.1 10740.8  85132.8    85269
read      389.1   333.5   160.7   214.1   226.4   342.3   431.7   482.7   517.1   552.9   592.3   644.2   808.2  2652.2 16315.8  31491.7    31525
read      380.8   355.4   160.7   217.3   229.0   331.1   400.8   445.3   480.5   525.9   582.0   657.1   860.5  2368.5 13952.2  61647.8    61798
read      443.5   460.4   173.5   225.7   243.7   409.3   479.9   523.5   554.0   589.2   631.9   696.3   856.7  5348.8 25463.1  12286.7    12253
read      457.4   368.9   160.7   217.8   230.7   381.9   496.2   558.1   608.2   686.9   804.4   944.8  1161.4  3217.0 12338.0  25692.8    25710
read      367.1   265.3   160.7   214.6   227.0   322.5   383.2   421.3   452.0   491.3   544.3   627.2   931.5  2394.0  8793.6  79914.8    79937
read      402.1   636.9   173.5   230.1   250.3   367.0   415.2   441.2   459.8   481.2   508.1   548.4   676.6  6765.6 31089.4   7303.7     7271
read      442.0   591.8   160.7   220.0   233.8   351.7   411.4   447.9   478.2   522.8   591.9   832.5  1826.2  8067.8 29015.8  85676.8    85861
read      375.9   251.7   160.7   219.7   232.8   334.3   394.1   430.6   460.0   497.6   548.2   631.6   891.4  2777.3  9503.4  91471.3    91467
read      379.8   242.7   160.7   217.8   229.8   335.3   402.5   445.3   478.6   521.3   578.0   660.1   878.0  2405.6  6891.8  72229.3    72217
read      395.9   269.5   160.7   213.4   226.1   354.9   443.7   493.8   528.1   565.2   608.2   671.5   862.0  1817.2  8551.7  31221.3    31080
read      370.7   201.8   160.7   214.0   226.7   329.3   394.8   434.9   466.7   506.5   560.6   643.2   871.4  1946.0  6766.2  76748.0    76878
read      361.4   220.7   160.7   213.4   226.1   324.5   385.9   423.1   452.3   489.2   538.4   616.4   793.1  1776.5  8029.0  84407.8    84584
read      457.5   698.7   173.5   225.7   244.0   409.7   477.8   519.6   550.9   588.4   635.6   721.2  1004.4  7454.3 31110.8  12533.5    12492
read      410.8   337.2   160.7   219.8   232.5   347.6   425.0   474.5   514.7   562.9   624.9   735.0  1463.6  2223.5  9352.6  57000.7    57106
read      357.7   192.6   160.7   217.9   230.5   326.2   382.7   416.5   442.4   475.3   521.4   592.4   753.8  1503.5  5179.2  96091.8    96245
read      419.7   755.3   173.5   237.6   258.0   373.2   422.0   448.6   466.6   489.8   517.7   561.2   738.6  9185.5 31594.4   6812.7     6791
read      464.4   492.2   160.7   221.3   236.6   366.3   435.0   476.9   512.7   564.5   654.3  1314.3  2003.8  3180.5 16434.7  90613.5    90728
read      390.1   768.9   187.4   241.2   262.2   348.7   384.9   403.9   419.9   436.3   461.4   500.2   628.2 10246.5 31638.1   5172.3     5151
read      399.3   310.6   160.7   219.6   232.6   342.1   408.1   448.4   479.3   520.9   579.8   682.2  1627.0  2873.8  8819.1  83059.8    82969
read      392.6   295.5   160.7   217.6   229.7   348.0   430.8   481.1   518.8   560.9   609.9   673.2   822.6  1667.2 12285.4  42649.2    42635
read      358.5   219.9   160.7   219.2   231.7   327.4   382.8   416.3   442.2   474.9   520.2   591.5   745.5  1301.2  7508.3  99250.8    99337
read      365.9   225.0   160.7   219.0   232.0   333.3   392.1   427.2   455.1   489.9   536.7   611.5   779.2  1597.2  7569.0  94949.2    95192
read      370.3   263.9   160.7   212.4   225.0   328.3   397.9   440.1   473.2   515.0   569.0   642.1   818.3  1785.5  9518.2  69187.2    69200
read      380.0   270.3   160.7   211.5   224.2   337.2   415.7   462.4   498.6   540.5   590.8   660.2   824.5  1548.5  8736.0  49306.5    49459
read      384.6   369.9   160.7   210.2   223.2   344.3   431.9   478.0   508.8   542.2   580.5   632.8   766.0  1691.4 20379.9  28969.2    29055
read      371.9   242.4   160.7   213.6   226.0   329.6   400.3   444.1   478.1   520.0   572.9   644.7   806.9  1689.4  9011.6  64324.5    64324
read      395.9   723.3   173.5   234.3   255.5   352.5   393.0   415.5   431.9   451.7   474.1   517.0   764.0  8327.7 31829.4   5736.8     5705
read      445.3   361.5   160.7   220.8   235.3   359.2   430.1   473.3   508.7   558.1   639.5  1040.4  1833.7  2870.3  8610.7  84769.5    84816
read      445.6   410.8   160.7   220.1   233.4   384.8   482.4   531.6   568.3   619.1   714.4   882.2  1143.5  4036.9 18638.2  23735.7    23714
